;UT;precision;pressure;duration;acceleration;rotation;magneticField
241;UT2;41.94355119802805;0.23137257;106000;6.71629121902132;0.557577299704404;47.342213258887675
242;UT2;78.86985307537724;0.14509805;103000;7.3456962110643955;0.20139918961471187;47.08287241662301
243;UT2;57.973103867224445;0.17254902;137000;6.625685742720587;0.1823538979818513;46.69335639306731
244;UT2;77.84142052724883;0.16078432;105000;7.732424400734077;0.6264137835685025;46.88762330029109
245;UT2;95.08636812778431;0.19607845;112000;6.885885550853232;0.7362712751903554;46.74937332467677
246;UT2;46.80882415069727;0.18823531;112000;6.955424018758196;0.6222854735768775;46.61926070574264
247;UT2;70.54316636689622;0.121568635;73000;6.832990658095215;0.15903260690073168;47.20819082796967
248;UT2;117.98748706585334;0.17254902;67000;8.92994039010549;0.4799213986321256;46.77009093694388
249;UT2;96.01276683524954;0.1137255;102000;7.680774919388984;0.24178123976468158;46.69272895751543
250;UT2;60.92511622563884;0.13725491;85000;7.007194400163697;0.2974227449835193;46.25760072679948
251;UT2;71.01626326399398;0.058823533;56000;7.399613655536743;0.16014061422678488;46.46878152319039
252;UT2;66.13405507255698;0.13333334;49000;8.257218443074375;0.298212481619591;46.41633939142552
253;UT2;60.22318522603154;0.043137256;87000;7.644208157351434;0.16902819679688663;46.639240452648885
254;UT2;21.98744932409395;0.12941177;71000;6.822459776353291;0.054297191985681864;46.34534092009681
255;UT2;22.351130613740708;0.16862746;76000;6.350091324239986;0.35936657062069227;44.48775287930376
256;UT2;19.75730198161941;0.27058825;86000;8.307823285425384;0.2756787902584187;45.61099956424985
257;UT2;28.45868883327015;0.22352943;78000;6.7501298285253295;0.7571838466379068;44.512024358593266
258;UT2;52.85278860022429;0.21176472;86000;7.57039663331576;0.3646549604378578;45.20997020846176
259;UT2;53.26050536495132;0.2509804;90000;6.239363746630668;0.6351389617040053;44.48410881989208
260;UT2;61.78487444261736;0.1764706;87000;6.997690274075473;0.5279358865371959;44.606789001227156
261;UT2;69.95308614037336;0.25882354;90000;7.936474561301796;0.478491569145614;43.26345527694246
262;UT2;29.3633669812728;0.15686275;80000;6.038076974263195;0.20514637297435714;43.30799038572443
263;UT2;71.8611383792826;0.25490198;94000;6.763035407586397;0.3394249794524018;44.101489841614196
264;UT2;29.517245766670086;0.121568635;69000;7.282659986964223;0.25676853532583704;43.61143234577374
265;UT2;65.86204496404282;0.26666668;80000;7.2226419899605885;0.26942397586675004;43.71878350606293
266;UT2;20.783909716788177;0.10196079;90000;7.108008090228094;0.19507530072901635;43.795244462155935
267;UT2;47.64602902340973;0.2627451;106000;6.753813391390517;0.5161470712209759;44.00377292062579
268;UT2;30.004847244278714;0.078431375;79000;7.766853781796225;0.2947160453793645;42.62307546974995
269;UT2;59.56183723294303;0.2509804;100000;7.220867910463426;0.6676761235254199;44.11924537545945
270;UT5;73.6938219483831;0.18039216;103000;7.106721329781714;0.3244338924726516;53.61858936040746
271;UT5;117.63956813258028;0.20000002;113000;7.803638915655866;0.258315544655923;52.61479265615327
272;UT5;92.14684990371023;0.13725491;112000;7.854434674152192;0.26685171330180657;52.64941535762767
273;UT5;123.86997020961132;0.19607845;123000;7.394896339366892;0.04090255004716632;53.00405350065219
274;UT5;49.42023117257646;0.1254902;78000;7.1586695023457105;0.05446393970386035;52.485898403761745
275;UT5;57.89864678116414;0.17254902;143000;7.734764271916847;0.17399469862045044;52.939529181888275
276;UT5;50.8137628101964;0.20784315;100000;7.20050307151161;0.18601251409013264;52.31727875425097
277;UT5;52.80042048364768;0.17254902;135000;7.441049323624326;0.2336732746849008;52.697582072140655
278;UT5;56.95108999287368;0.20392159;112000;7.152465903680136;0.13625035306819738;51.976369330206204
279;UT5;16.860504060377313;0.14509805;126000;7.409743696978993;0.31840892669161014;53.00530633813939
